Model,Noise,Level,mAP@50,Precision,Recall,F1,Latency(ms)
YOLO11n,Gaussian,1.0,0.0,0.0,0.0,0.0,115.8495099999709
YOLO11n,Gaussian,2.0,0.0,0.0,0.0,0.0,115.8321960000103
YOLO11n,Salt_Pepper,0.0,0.8427207604558528,0.8604651162790697,0.752542372881356,0.8028928114610571,112.57322099998419
YOLO11n,Salt_Pepper,0.01,0.746801921590027,0.8439024390243902,0.5864406779661017,0.6919995162003382,113.38676800001849
YOLO11n,Salt_Pepper,0.05,0.6202303795329117,0.7848101265822784,0.42033898305084744,0.5474609143852236,115.63029400000232
YOLO11n,Salt_Pepper,0.1,0.5589917491415752,0.8137254901960784,0.28135593220338984,0.41813563832049544,114.89216599999054
YOLO11n,Salt_Pepper,0.3,0.5084637931034482,1.0,0.01694915254237288,0.033333300555587794,114.72182199999224
YOLO11n,Salt_Pepper,0.5,0.0,0.0,0.0,0.0,113.94895299999916
YOLO11n,Poisson,0.0,0.8427207604558528,0.8604651162790697,0.752542372881356,0.8028928114610571,114.42009600003075
YOLO11n,Poisson,0.01,0.44974587673611116,0.875,0.023728813559322035,0.0462045690510217,111.53139899997768
YOLO11n,Poisson,0.05,0.6547165597748174,0.825,0.44745762711864406,0.5802193242365616,113.00957700001163
YOLO11n,Poisson,0.1,0.7560051231021001,0.8871794871794871,0.5864406779661017,0.7061219698045734,111.64259299999685
YOLO11n,Poisson,1.0,0.8323553762045859,0.8842975206611571,0.7254237288135593,0.7970199890421256,113.35600300000806
YOLO11n,Poisson,10.0,0.8373056969515509,0.8588235294117647,0.7423728813559322,0.7963631390085751,113.26766999998654
YOLO11s,Gaussian,0.0,0.868701824704671,0.9269271374999575,0.7559322033898305,0.8327417984806622,257.0310790000076
YOLO11s,Gaussian,0.1,0.8102784824126804,0.8293650793650794,0.7084745762711865,0.7641676932181074,244.48766600002273
YOLO11s,Gaussian,0.2,0.6885053622364328,0.8176795580110497,0.5016949152542373,0.6218482681752743,249.16709000000992
YOLO11s,Gaussian,0.5,0.0,0.0,0.0,0.0,250.67029199999524
YOLO11s,Gaussian,1.0,0.0,0.0,0.0,0.0,248.84749799999554
YOLO11s,Gaussian,2.0,0.0,0.0,0.0,0.0,250.66321800000878
YOLO11s,Salt_Pepper,0.0,0.868701824704671,0.9269271374999575,0.7559322033898305,0.8327417984806622,254.28585699999527
YOLO11s,Salt_Pepper,0.01,0.7244617365963439,0.8241206030150754,0.5559322033898305,0.663967130218841,270.77912100001413
YOLO11s,Salt_Pepper,0.05,0.6148033157570295,0.7884476113110531,0.423728813559322,0.5512195888819492,267.43823099997826
YOLO11s,Salt_Pepper,0.1,0.6132785334810923,0.7120418848167539,0.4610169491525424,0.5596703047896496,261.46283299996867
YOLO11s,Salt_Pepper,0.3,0.36475689335345524,0.6666666666666666,0.05423728813559322,0.10031334047444149,269.0753909999694
YOLO11s,Salt_Pepper,0.5,0.0,0.0,0.0,0.0,277.76249699996697
YOLO11s,Poisson,0.0,0.868701824704671,0.9269271374999575,0.7559322033898305,0.8327417984806622,260.211046000004
YOLO11s,Poisson,0.01,0.39425848774829314,0.6944444444444444,0.0847457627118644,0.15105720794833252,264.96498900000006
YOLO11s,Poisson,0.05,0.7299727178084904,0.8276487084175804,0.5661016949152542,0.6723341558748914,256.935842999992
YOLO11s,Poisson,0.1,0.7863847615323186,0.8508771929824561,0.6576271186440678,0.7418733131773566,265.249416000006
YOLO11s,Poisson,1.0,0.8611686736399983,0.8702290076335878,0.7728813559322034,0.8186709559743757,267.17943099996774
YOLO11s,Poisson,10.0,0.8680183867087854,0.9267553400020202,0.7661016949152543,0.8388049347351276,263.3154640000066
YOLO26n,Gaussian,0.0,0.8392428707538127,0.85546875,0.7423728813559322,0.7949178328137737,125.40096100001391
YOLO26n,Gaussian,0.1,0.7533305948139215,0.8136363636363636,0.6067796610169491,0.6951451416725097,237.86616499997763
YOLO26n,Gaussian,0.2,0.6599703168942683,0.8814814814814815,0.4033898305084746,0.5534879413199676,242.38398000001325
YOLO26n,Gaussian,0.5,0.0,0.0,0.0,0.0,241.8068249999851
YOLO26n,Gaussian,1.0,0.0,0.0,0.0,0.0,237.57685600001423
YOLO26n,Gaussian,2.0,0.0,0.0,0.0,0.0,238.96312299999408
YOLO26n,Salt_Pepper,0.0,0.8392428707538127,0.85546875,0.7423728813559322,0.7949178328137737,238.41468099999474
YOLO26n,Salt_Pepper,0.01,0.7199931227717994,0.8659026699677085,0.5288135593220339,0.6566220927309571,239.32604500001617
YOLO26n,Salt_Pepper,0.05,0.6781984069268652,0.8475609756097561,0.4711864406779661,0.6056640287452281,239.39567299999908
YOLO26n,Salt_Pepper,0.1,0.6178584715607767,0.865546218487395,0.34915254237288135,0.49758413142697494,244.4350719999784
YOLO26n,Salt_Pepper,0.3,0.33725255972696244,0.6763537468529527,0.006779661016949152,0.013424734805861881,244.93254000000888
YOLO26n,Salt_Pepper,0.5,0.0,0.0,0.0,0.0,241.9236269999965
